Work Steps,Actions,CATEGORY 
PACK 1 OVHT EICAS. RIGHT AFTER SELECTING ON / LOTO INSTALLED,". 

REMOVED AND REPLACED #1 ACM IAW EMB 145 XR AMM 21-51-03. REMOVED AND REPLACED HOSES FOR DTCV IAW EMB 145 XR AMM 21-60-01. OPS AND LEAK CHECK SAT. / LOTO REMOVED AND STOWED AS REQUIRED.",PACK ACM
PACK 1 VALVE CLOSED MSG APPEARED ON EICAS ON CLIMB OUT OF LNK / LOTO INSTALLED,". 

TROUBLE SHOOT PACK 1 SYSTEM FOUND TO BE LEAKING FROM BLEED LINE TO DUAL TEMP CONTROL VLV, 2 SLEEVES AND CLAMPS, FOUND TO BE STILL LEAKING REQ DEFERED PER MEL 21-51-00-3 PLACARD INSTALLED / R/R LARGE BLEED TUBE BETWEEN THE DTCV AND HEAT EXCHANGER ON PACK #1 IAW EMB 145 XR AMM 21-60-01. OPERATIONAL CHECK SHOWS NO EVIDENCE OF LEAKS, BUT SYSTEM FLUCTUATES BETWEEN HOT AND COLD IN AUTOMODE. FURHTER T/S REQUIRED. / SEE W/O 101837185 FOR WORK PERFORMED. / LP 82932 REFER TO WO 101837185 FOR CORRECTIVE ACTION, PLACARD REMOVED, MEL CLEARED / REMOVE LOTO REMOVED LOTO AS REQ",PACK VALVE
HIGH PITCH NOISE DURING TAXI WHILE STEERING. / LOTO INSTALLED. / VERIFY MEL PROCEDURES,". 

FOUND #2 RECIRC FAN RUBBING ON SHROUD. PULLED AND COLLARED CB F5 TO DISABLE FAN. DEFERRED PER MEL 21-26-00-3. PLACARD INSTALLED / LP 73864 R AND R #2 RECIRC FAN IAW EMB 145 XR AMM 21-26-00. OPS CHECK SAT. MEL CLEARED. PLACARD REMOVED. / LOTO REMOVED AND STOWED / MEL VERIFIED. PLACARD INSTALLED AND CB PULLED AND COLLARD.",PITCH TRIM
CABIN ALT IND 5000FT INSTEAD OF 2700FT @21000FT / LOTO INSTALL INSTALLED LOTO,". 

PERFORMED OPS CHECK IAW EMB 145 AMM 21-31-00. OPS CHECK SAT GVI OF OUTFLOW VAVLES AND DRAIN VALVES. NO DEFECTS NOTED / LOTO REMOVED REMOVED AND STOWED AS REQ",PRESSURIZATION PROBLEM
AUTO PILOT AND YAW DAMPNER FAIL MESSAGES ON EICAS. / SEE WORKORDER 101`837`434 FOR FURTHER T/S STEPS,". 

DEFERRED PER MEL 22-10-00-3. AIRCRAFT NOT CAT II OR RVSM AUTHORIZED. PLACARDS INSTALLED. / AP/YD FAIL MEL R/R #1 IC600 IRW EMB 145 XR AMM 31-42-01. OPS CHECK GOOD PLACARD REMOVED MEL CLEARED.",AP/YD
"YAW DAMPNER FAIL, AUTO PILOT FAIL ON EICAS.",". 

AP / YD FAIL RESET AP/YD , OPS CK GOOD IAW EMB 145XR MM 22-11-00",AP/YD
YAW DAMPER FAIL & A/P FAIL EICAS MSGS ON POWER UP,". 

PERFORMED RESET PER TA E145-0500-2020-001 STEPS 1.33 & 1.179. NO FURTHER ACTION REQUIRED.",AP/YD
F/A CD PLAYER VOLUME LOW / ADJUST THE F/A CD PLAYER VOLUME PER EMB 145 AMM 23-32-00 AND 23-32-01 AS REQUIRED.,". 

DEFERRED PER MEL 23-32-02-1. PLACARD APPLIED / LP 94537 PERFORMED EMB 145 AMM 23-32-00. ADJUSTED VOLUME AS REQUIRED. OPS CHECK GOOD, PLACARD REMOVED, MEL CLEARED",CD PLAYER
"REF WO 101836219, FO`S GLARESHIELD PTT SWITCH INTERMITTENT, WRONG MEL NUMBER IN LOG BOOK.",". 

FO`S GLARESHIELD PTT SWITCH DEFERRED PER MEL 23-51-03-1, REF WO 101836219 FOR ORIGINAL DISCREPANCY. DISCREPANT PAPERWORK FORM CA-16 CW BY MX CONTROL.",COMM
PTT BUTTON INTERMITTENT. / EIE / MEL VERIFICATION REQUIRED. / SEE WO 101`837`370 FOR FURTHER STEP.,". 

DEFERRED FO`S GLARESHIELD PTT SWITCH PER MEL 23-51-03-1, PLACARD INSTALLED. / LP 94536 R+R FO PTT SWITCH PER EMB145 AMM 23-51-03. OPS CHECK GOOD. PN ON: NX201002B PN OFF: NX201002B. PLACARD REMOVED MEL CLEARED / EIE / MEL 23-51-03-1 VERIFIED AND PLACARD APPLIED PROPERLY / SEE WO 101837370 FOR FURTHER ACTION",EIE
CA`S SPEAKER WON`T TURN OFF. / LOTO INSTALLED.,". 

CAPT SPEAKER STAY ON R&R CAPT AUDIO CONTROL PANEL REF TO EMB 145 MM 23-51-01-OPS GOOD / LOTO LP 52455 REMOVED AND STOWED LOTO AS REQ",PA/INTERPHONE
TRAY TABLE AT SEAT 1A BROKEN / LOTO DEVICE INSTALLED,". 

DEFERRED PER NEF 25-90-01-1. TRAY TABLE REMOVED. PLACARD INSTALLED / TRAY TABLE 1A BROKEN R&R SEAT 1A TRAY TABLE ASSY IAW EMB145 CMM 25-20-62. OPS CHECK GOOD. NEF CLEARED. PLACARD REMOVED. / LOTO REMOVED AND STOWED",CABIN INTERIOR
C/A SEAT FORE/ AFT ADJUSTMENT LEVER HANDLE BROKE / VERIFY MEL PROCEDURES,". 

DEFERRED PER MEL 25-11-01-7. REMAINING HANDLE OPERATES NORMALLY. PLACARD INSTALLED / R&R ADJUSTMENT LEVER IAW ZODIAC AEROSPACE CMM 25-11-71, PLACARD REMOVED, MEL CLEARED / R&R ADJUSTMENT LEVER IAW ZODIAC AEROSPACE CMM 25-11-71, PLACARD REMOVED, MEL CLEARED",CREW SEAT
FA JUMP SEAT WILL NOT RETRACT. / LOTO INSTALLED,". 

FA JUMPSEAT LUBED FA JUMPSEAT, OPS CK GOOD IAW EMB 145XR MM 25-21-02 / LOTO REM",FA SEAT
GALLEY CURTAIN FELL OFF / LOTO DEVICE INSTALLED,". 

DEFERRED PER NEF 25-92-01-1. PLACARD APPLIED, GALLEY CURTAIN PLACARD IN WARDROBE. / RESECURED INSERT FOR GALLEY CURTAIN AND INSTALLED GALLEY CURTAIN IAW EMB 145 AMM 25-27-07. PLACARD REMOVED, NEF CLEARED / LOTO DEVICE REMOVED AND STOWED AS REQUIRED",GALLEY
OVERHEAD BIN ROW 7 STUCK OVERHEAD BIN ROW 7 STUCK DUE TO OVERSIZED BAG / INSTALL LOTO INSTALLED LOTO DEVICE,". 

OVERSIZED BAG REMOVED AND ROW 7 BIN NOW OPERATES NORMALLY. NO DEFECTS NOTED. / LOTO REMOVED AND STOWED PER MXC",OVHD BIN
OVHD BIN ABOVE ROWS 22&23 WON`T CLOSE / LOTO INSTALLED,". 

ADJUSTED OVERHEAD BIN AT ROWS 22 & 23 IAW EMB-145XR AMM 25-22-03. OPS CHECK SAT. / REMOVED AND STOWED LOTO DEVICE.",OVHD BIN
2A SEAT RECLINES TOO FAR,". 

SEAT 2A ADJUSTED 2A SEAT RECLINE REF EMB 145 AMM 25 21 01",PAX SEAT
9C SEAT BACK DOES NOT STAY UPRIGHT / LOTO INSTALLED,". 

REMOVED AND REPLACED SEAT 9C SEATBACK BRACKET IAW CMM 25-20-59, OPS CHECK SAT. / REMOVED STOWED LOTO.",PAX SEAT
RUBBER ARMREST 10C FELL OFF / LOTO INSTALLED,". 

ARMREST RESECURED RUBBER TO ARMREST 10C AS NEEDED . REF EMB 145 VCMM 25-20-60 / LOTO REMOVED AND STOWED LOTO",PAX SEAT
FLAP LOW SPEED EICAS MESSAGE.,". 

RESET FLAP SYSTEM PER MX CONTROL IRW TA E145-0500-2020-001 AND EMB 145 FIM 27-51-00-810-801-A. MESSAGE CLEARED, OPS CHECK NORMAL.",FLAP LOW SPEED
RUDDER 1-2 INOP ON FLARE RUDDER 1-2 SYSTEM INOP IN FLARE BELOW 135 KTS,". 

PERFORMED SYSTEM RESET PER MAINT CONTROL IAW EMB 145 FIM 27-22-00-810-804-A AND AMM 27-23-00 OPS CHECK GOOD",RUDDER SYS
E1 FUEL LOW PRESS ON EICAS PUMP 1A SELECTED / LOTO INSTALL INSTALLED LOTO,". 

DEFERRED PER MEL 28-21-01-1. CB A3 LH DIST PULLED AND COLLARED. PLACARD INSTALLED. REMAINING PUMPS OPERATE NORMALLY. / E1 FUEL LOW PRESS ON EICAS PUMP 1A SELECTED R/R #1A FUEL PUMP IAW EMB145XR AMM 28-21-01 OPS AND LEAK CHECK GOOD PLACARD REMOVED C/B RESET MEL CLEARED VERIFIED CLEAR TO CLOSE INSTALL OF PANEL AND LEAK CK IAW EMB AMM 28-21-01 / LOTO REMOVED AND STOWED",ENG FUEL LOW PRESSURE
FUEL PUMP 2C INOP / LOTO INSTALLED,". 

SYS RESET, OPS CHECK SAT REF EMB 145 AMM 23-45-00 / LOTO REMOVED & STOWED AS REQ",FUEL PUMP
E2 HYD PUMP FAIL AND HYD 2 SYS FAIL EICAS MESSAGES DISPLAYED FOR A COUPLE MIN. / LOTO INSTALLED,". 

E2 HYD PUMP FAIL RAN #2 ENG . WAS ABLE TO DUPLICATE FAULT , HYD SYSTEM 2 PRESSURE REMAINS CONSTANT 3000 PSI , #2 EMDP REMAINS OFF IN AUTO MODE. SUSPECT BAD E2 HYD PUMP PRESSURE SWITCH. PART ON ORDER . / HYD SYS 2 FAIL E2 HYD PUMP FAIL REMOVED AND REPLACED #2 EDP PRESSURE SWITCH OPS AND LEAK CHECK GOOD REF EMB 145 MM 29-10-19 / LOTO REMOVED AND STOWED LOTO",HYD PUMP
SYSTEM 2 HYD NO PRESS READING ON MFD,". 

RESECURED LOOSE CANNON PLUG, OPS CHECK SAT REF EMB 145 AMM 29-30-02",HYD SYS
ENGINE 2 ANTI ICE FAIL MESSAGE IN THE AIR. MESSAGE CLEARED AFTER QRH PROCEDURE.,". 

DEFERRED PER MEL 30-21-01-1, PLACARD APPLIED. E2 AI VALVE SECURED IN THE OPEN POSITION. / NCW / REMOVED & REPLACED E2 A/I VALVE IAW ERJ 145 AMM 30-21-00. OPS CHECK GOOD. MEL CLEARED. PLACARD REMOVED",A/I PROBLEM-ENG
BRAKE DEGRADED MSG ON EICAS DISPLAYED AGAIN / LOTO INSTALLED,". 

R/R #3 WHEEL SPEED TRANSDUCER IAW EMB145XR AMM 32-41-03 OPS CHECK SAT EICAS MESSAGE GONE / REMOVED LOTO",BRAKE DEGRADE
BRAKE DEGRADED ON EICAS. / LOTO INSTALLED.,". 

COMPLIED WITH TASK 32-41-03-000-801A NO DEFECTS NOTED RESET CMC FAULT CLEARED PERFORMED TAXI CHECK NO DEFECTS . A.C OK FOR SERVICE / LOTO REMOVED AND STOWED AS REQ",BRAKE DEGRADE
L/H O/B BRAKE TEMP INDICATION INTERMITTENTLY INOP / LOTO DEVICE INSTALLED,". 

CLEASENT AND RESECURED #1 BRAKE TEMP SENSOR CONNECTOR. OP CHECK GOOD. IAW EMB 145 AMM 32-41-00 / REMOVED AND STOWED LOTO",BRAKE TEMP
LEFT SIDE INBD BRAKE INDICATOR FLUSH / LOTO INSTALLED,". 

BRAKE IND FLUSH LH INSPECTED #2 BRAKE TO BE WITHIN LIMITS REF TO EMB 145 AMM 32-49-03- / LOTO REMOVED & STOWED LOTO AS REQ",BRAKE WORN
AFT AISLE EMERGENCY LIGHT COVER MISSING / LOTO INSTALLED,". 

REPLACED AFT AISLE EMERGENCY LIGHT COVER IAW EMB. 145 AMM 33-50-08 / REMOVED AND STOWED LOTO.",EMERGENCY LIGHT
LEFT POSITION LIGHT BURNED OUT. / LOTO INSTALLED,". 

DEFERRED NAV LIGHT PER MEL 33-43-00-1, PLACARD INSTALLED, NAV LIGHTS PLACED IN STBY POSITION. / R/R LEFT POSITION LIGHT LAMP IAW EMB 145 AMM 33-43-05. OPS CHECK GOOD, PLACARD REMOVED, MEL CLEARED, NAV SWITCH PLACED IN NORMAL MODE / LOTO REMOVED AND STOWED AS REQUIRED.",EXTERIOR LIGHT
RIGHT WING WHITE NAV LIGHT IS OUT. / LOTO INSTALLED,". 

R/H WHITE NAV LIGHT R/R R/H WHITE NAV LIGHT REF TO EMB 145 AMM 33-43-05- OPS CHECK SAT / LOTO REMOVED AND STOWED LOTO",EXTERIOR LIGHT
HALF LIT FASTEN SEAT BELT SIGN IN LAV / LOTO INSTALLED,". 

LAV LIGHT REMOVED AND REPLACED BULBS IN LAV FOR FASTEN SEATBEALT / LOTO REMOVED AND STOWED",INTERIOR LIGHT
"TERRAIN INOP, GPWS INOP, WIND SHEAR INOP. / VERIFY MEL PROCEDURES",". 

DEFERRED PER MEL 34-41-00-1. PLACARDS APPLIED. AC IS NOT CAT II COMPLIANT. / LP 82697 REMOVED & REPLACED EGPWS / WINDSHEAR COMPUTER IAW EMB 145XR AMM 34-41-00. UPDATED TO LATEST VERSION 6.3 EGPWS TERRAIN SOFTWARE TO 623. OPS CHECK GOOD. MEL CLEARED. PLACARD REMOVED. / LP-82690 VERIFIED MEL COMPLIED WITH / MEL VERIFICATION LP 82691 C/W MEL 34-41-00-1 TERRAIN, GPWS, WINDSHEAR INOP VERIFICATION, PLACARD WAS APPLIED, CAT II NOT AUTHORIZED, DECAL INSTALLED, MEL CONTINUES.",EGPWS/WINDSHEAR/TERR
FMS 2 BLACK SCREEN / LOTO INSTALLED.,". 

FMS 2 BLACK SCREEN RESET FMS 2 & CDU 2, OPS CK GOOD IAW EMB 145XR MM 34-61-00 / LOTO REM",FMS
RA2 FAILS INTERMITTENTLY WITH FALSE READINGS / MEL VERIFICATION REQUIRED.,". 

DEFERRED RA2 PER MEL 34-31-00-2, PLACARD INSTALLED. CB D21 (RA2) PULLED AND COLLARED. / CONFIRMED PLACARD INSTALLED AND CB D21 COLOR. MEL 34-31-00-2. MEL CONTINUES / RADIO ALTIMETER R/R RADIO ALTIMETER 2 IAW EMB 145 AMM 34-31-01-04. PERORMED OPS CHECK IAW EMB 145 34-31-00-05. OPS CHECK SAT. CB D21 (RA2) PUSHED AND COLLARED REMOVED.PLACARD REMOVED. / 74372 CONFIRMED PLACARD INSTALLED AND CB D21 COLOR. MEL 34-31-00-2. MEL CONTINUES",RADIO ALT
TRANSPONDER 1 INOP. / MEL VERIFICATION REQUIRED. / PERFORM #1 TRANSPONDER ADJUSTMENT/TEST PER EMB 145 AMM 34-52-00,". 

DEFERRED #1 TRANSPONDER PER MEL 34-52-00-2, PLACARD INSTALLED. / PERFORMED EMB145 AMM 34-52-00 ADJUSTMENT/ TEST OF TRANSPONDER #1. TEST SAT. MEL CLEARED. PLACARD REMOVED. / PERFORMED EMB145 AMM 34-52-00 ADJUSTMENT/ TEST OF TRANSPONDER #1. TEST SAT. MEL CLEARED. PLACARD REMOVED. / PERFORMED EMB145 AMM 34-52-00 ADJUSTMENT/ TEST OF TRANSPONDER #1. TEST SAT. MEL CLEARED. PLACARD REMOVED.",TRANSPONDER
LAV RINSE NIPPLE CAP MISSING / LOTO INSTALLED,". 

LAVRINSE NIPPLE INSTALLED IRW EMB 145 AMM 38-30-00-03, NO DEFECTS NOTED AT THIS TIME / LOTO REMOVED & STOWED AS REQUIRED.",POTABLE WATER
GOUGE/ DENT ON RH WINGLET / LOCK OUT TAG OUT INSTALLED,". 

GOUGE/ DENT ON RH WINGLET INSPECTED AND FOUND TO BE A PAINT LINE NO DAMAGE NOTED / LOTO REMOVED AND STOWED",DENT
FADEC B ON ENG #1 NOT SHOWING / LOTO INSTALL INSTALLED LOTO,". 

SWAPPED FADEC 1B & 1A IAW EMB 145 AMM 73-22-01 NO FIX SWAPPED BACK TO ORIGINAL. R&R IC-600#1 IAW EMB 145 AMM 31-42-01. ALL OPS CHECKS SAT. / LOTO REMOVED AND STOWED",FADEC
ENGINE 1 NEEDS OIL.,". 

SERVICED #1 ENGINE OIL IRT EMB 145 AMM 12-12-01.",ENG OIL
BIRD STRIKE ON NOSE CONE. / LOTO DEVICE INSTALLED,". 

CLEANED AREA AND PERFORMED BIRD STRIKE INSPECTION IAW E145 AMM 05-50-08. NO DAMAGE FOUND / LOTO REMOVED AND STOWED",BIRDSTRIKE
FLAPS 9 MOMENTARILY EXCEEDED AT 251 KNOTS / LOTO INSTALLED,". 

FOUND TO BE WITHIN LIMITS, DID NOT EXCEEDED MAXIMUM THRESHOLD VALVE REF EMB 145 AMM 05-50-07 / LOTO REMOVED & STOWED AS REQ",FLAP EXCEEDANCE/OVER SPEED (CREW ISSUE)
CAPTAIN MIC HOT PTT STICKER PEELING OFF / LOTO INSTALLED,". 

PTT STICKER REATTACHED PTT PLACARD TO CA YOLK AS NEEDED. REF EMB 145 20-12-01 / LOTO REMOVED AND STOWED LOTO",COMM
FUELER REPORTS FAIL MSG WHEN OPENING DOOR,". 

ELECTRICALLY RESET REFUELING PANEL OPS CHECK GOOD IAW EMB 145 AMM 28-23-09",PRESSURE REFUEL
PACK 1 IS NOT COOLING IN AUTO AND MAN / LOTO INSTALLED,". 

PACK 1 NOT COOLING RESET PACK 1 SYSTEM IRW EMB 145XR AMM 21-51-00 OPS CHECK GOOD IN MANUAL AND AUTO MODES NO DEFECTS NOTED / LOTO DEVICE REMOVED AND STOWED",PACK INOP/FAIL
PACK 2 AUTOMATICALLY SHUT OFF AND WILL NOT RE ENGAGE / LOTO INSTALLED,". 

PERFORMED OPS CHECK OF THE #2 PACK SYSTEM IAW E145 AMM 21-51-00. OPS CHECK SAT. PACK IN OPERATION FOR 20 MIN WITH NO DEFECTS NOTED. / LOTO REMOVED AND STOWED",PACK INOP/FAIL
PACK 1 VALVE FAIL ON EICAS / LOTO INSTALLED / VERIFY MEL PROCEDURES,". 

REF E145 AMM 21-51-00, VERIFIED NO LEAKS/ PROPER OPS FOR PACK 2 AND ALL LINES CONNECTED FOR BOTH PACKS. PACK 1 SHUTS DOWN WHEN SELECTED, UNABLE TO FIND LEAK. DEFERRED PACK 1 PER MEL 21-51-00-3. PLACARD APPLIED. RECIRC FAN OPERATES NORMALLY / LP 95159 R/R PACK 1 REGULATOR VALVE IAW EMB145 XR AMM 21-51-01. OPS CHECK FAIL. PACK 1 C/B POPPED. SUSPECT REGULATOR VALVE BAD FROM STOCK. ORDERED REGULATOR VALVE. REMAINS ON MEL. (PN: 816604-1) / LP 95163 R/R PACK 1 REGUALATOR VALVE IAW EMB 145 XR AMM 21-51-01. OPS AND LEAK CHECK SAT. PLACARD REMOVED. MEL CLEARED. / LOTO REMOVED AND STOWED AS REQUIRED / 95157 VERIFIED MEL 21-51-00-3. ALL MX PROCEDURES FOLLOWED",PACK VALVE
PACK 2 VALVE CLOSED MESSAGE ON EICAS IN FLIGHT / LOTO INSTALLED,". 

PACK 2 FOUND SLEEVE ASSY DISCONNECTED FROM DUAL TEMP CONTROL VALVE. REPLACED SLEEVE AND CLAMPS IAW EMB 145 AMM 21-60-01. OPS CHK AND LEAK CHK SAT. NO OTHER DEFECT NOTED AT THIS TIME. / LOTO REMOVED AND STOWED AS REQUIRED",PACK VALVE
PACK 2 VALVE FAIL IN FLIGHT. / LOTO INSTALLED.,". 

REMOVED AND REPLACED PACK 2 VALVE IAW EMB 145 AMM 21-51-01 OPS CHECK GOOD / LOTO REMOVED AND STOWED",PACK VALVE
ACARS FROZEN,". 

RESET ACARS PER MX CONTROL, FAULT CLEARED NO DEFECTS NOTED.",ACARS
CD PLAYER NEEDS NEW CD / LOTO INSTALLED.,". 

INSTALLED NEW CD AS REQD / REMOVED LOTO LOTO REMOVED AND STOWED AS REQD .",MISSING/LOOSE HARDWARE
MISSING STATIC WICK ON TOP OF TAIL / LOTO INSTALLED / INSTALL MISSING TAIL/ELEVATOR STATIC WICK IAW EMB 145 AMM 23-60-01 AND PERFORM OPERATIONAL CHECK AS REQUIRED,". 

DEFERRED PER CDL 23-60-2-CDL. PLACARD INSTALLED. / LOTO REMOVED AND STOWED AS REQUIRED. / INSTALLED STATIC WICK IAW AMM 23-60-01 CDL CLEARED PLACARD REMOVED OPS CHECK SAT",STATIC WICK/BONDING STRAP
20C TRAY TABLE WONT GO DOWN,". 

DEFERRED PER NEF 25-90-01-1. TRAY TABLE 20C SECURED. PLACARD APPLIED. / SEAT 20C TRAY TABLE BROKEN READJUSTED TRAY TABLE ARMS IRW ZODIAC CMM 25-20-59. OPS CHECK SAT. PLACARD REMOVED. NEF CLEARED.",CABIN INTERIOR
TRAY TABLE 2A BROKEN. / LOTO INSTALLED,". 

DEFERRED PER NEF 25-90-01-1. TRAY TABLE SECURED. PLACARD APPLIED. / NEF CLEARED LP 89592 REMOVED AND REPLACED 2A TRAY TABLE LATCH IAW CMM 25-20-60, NEF CLEARED, PLACARD REMOVED. / LOTO REMOVED AND STOWED",CABIN INTERIOR
CEILING TRIM ABOVE EMRGENCY EXIT AT 18 A HANGING DOWN.,". 

RESECURED CEILING TRIM ABOVE EMERGENCY EXIT AT 18A IAW EMB. 145 AMM 25-00-00",CABIN INTERIOR
WATER LEAKING FROM GALLEY COFFEE POT AREA / LOTO INSTALLED,". 

PERFORMED OPS CHECK IAW SAFRAN CMM 25-30-39. OPS CHECK SAT, NO DEFECTS/ LEAKS NOTED AT THIS TIME. / LOTO REMOVED AND STOWED AS REQUIRED",COFFEE POT/MAKER
CAP HEADREST WILL NOT STAY ATTACHED / LOTO INSTALLED,". 

REATTACHED HEADREST CUSHION IAW EMB 145 AMM 20-30-03 / LOTO REMOVED AND STOWED AS REQ",CREW SEAT
BOTH DEMO MASKS MISSING. / LOTO INSTALLED.,". 

DEMO O2 MASK INSTALLED DEMO MASK AS REQ / LOTO REMOVED AND STOWED LOTO AS REQ",DEMO EQUIP
DEMO OXYGEN MASK BROKEN / LOTO INSTALLED.,". 

R/R DEMO O2 MASK AS REQUIRED / LOTO REMOVED AND STOWED AS REQUIRED",DEMO EQUIP
GALLEY SERVICE DOOR MISSING PANEL / LOTO INSTALLED,". 

DEFERRED PER NEF 25-90-11-1. PLACARD APPLIED. / N/CW DUE TO PART NUMBER SJ-3419HOOK NOT AVAILABLE IN STOCK / INSTALLED GALLEY SERVICE DOOR PANEL IRW EMB 145 AMM 25-23-05. PLACARD REMOVED. NEF CLEARED. / LOTO REMOVED AND STOWED",GALLEY
"GARBAGE CAN MISSING, GALLEY / LOTO INSTALLED.",". 

DEFERRED GALLEY TRASH CAN PER NEF 25-92-01-1, PLACARD INSTALLED. / LP 47397 INSTALLED GARBAGE CAN , IN REF EMB-145-AMM-25-30-01, PLACARD REMOVED. NEF CLEARED / LOTO REMOVED AND STOWED AS REQUIRED.",GALLEY
TOILET PAPER HOLDER BROKEN / LOTO INSTALLED,". 

TOILET PAPER HOLDER INSTALLED TOILET HOLDER BRACKET REF TO EMB 145 IPC 25-40-08 / LOTO REMOVED AND STOWED LOTO AS REQ",LAV DOOR
FO`S CHART HOLDER MISSING ONE SCREW / LOTO INSTALLED.,". 

SCREW INSTALLED SCREW IN FO`S CHART HOLDER REF EMB 145XRMM 20-10-07 / LOTO REMOVED AND STOWED LOTO",MISSING/LOOSE HARDWARE
MISSING 10 SAFETY CARDS / LOTO INSTALLED,". 

SUPPLIED 10 SAFETY BRIEFING CARDS AS REQUIRED. / LOTO REMOVED AND STOWED AS REQUIRED.",PAPERWORK
3D AND 8A RECLINE MECHANISMS BROKE,". 

REMOVED AND REPLACED SEAT 3D AND 8A RECLINE PUSH BUTTONS IAW CMM 25-20-59AND CMM 25-20-60 OPS CHECK.",PAX SEAT
6A ARMREST END CAP BROKE / 95344 LOTO INSTALLED,". 

REMOVED AND REPLACED SEAT 6A END CAP IAW CMM 25-20-60 / REMOVED AND STOWED LOTO.",PAX SEAT
FO YOKE CAP MISSING / LOTO INSTALLED,". 

DEFERRED FO`S YOKE CAP PER NEF 25-93-15-1, PLACARD INSTALLED. / FO YOKE CAP REPLACED IRW EMB 145 AMM 27-11-08., PLACARD REMOVED NEF CLEARED. / LOTO REMOVED AND STOWED AS REQUIRED.",COCKPIT EQUIP/INTERIOR
"DURING CROSS FEEDING LOW 1 USING PUMP B OR C AFTER TAKE OFF, STARTED CYCLING. / LOTO INSTALLED",". 

PERFORMED OPS CHECK OF THE FUEL LOW PRESSURE WARNING SYS USING ALL PUMPS IAW E145 AMM 28-45-00. OPS CHECK SAT. PER E145 AFM SECTION 4, THE FUEL CROSSFEED MUST BE OFF DURING T/O. NO FAULTS FOUND. ""ISSUE"" WAS PILOT INDUCED. / REMOVED AND STOWED LOTO AS REQUIRED",CROSS FEED
ENG 1 FUEL PUMP C INOP / LOTO DEVICE INSTALLED / REPEAT LEVEL 1 WO 101838333 COMPLY WITH WO 10183833,". 

DEFERRED PER MEL 28-21-01-1 PLACARD APPLIED, C/B C4 ON L/H DIST PANEL PULLED AND COLLARED. / TROUBLESHOT PER FIM 28-45-00-810-801-A AND WM 28-21-50. DETERMINED FUEL PUMP 1C CONTACTOR K0123 TO BE FAULTY. NO FIX DUE TO LACK OF DOWN TIME. MEL CONTINUES. / LP 94634 R&R FUEL PUMP 1C CONTACTOR IAW EMB 145XR AMM 28-21-14. OPS CHECK SAT AT THIS TIME. C/B C4 CLOSED AND PLACARDS REMOVED. MEL CLEARED / LOTO REMOVED AND STOWED AS REQUIRED / COMPLIED WITH WO 101838333.",ENG FUEL
FUEL XFER EICAS IN FLIGHT. PUMP B WORKING PUMP A NOT WORKING / LOTO INSTALLED,". 

DEFERRED PER MEL 28-45-12-3. PLACARD APPLIED, C/B A4, G4 AND G31 ON OVHD PANEL, D4 ON R/H DIST PANEL, AND A1 ON L/H DIST PANEL PULLED AND COLLARED. VENTRAL TANK DRAINED AND SUMPED. A/C SWITCHED FROM XR TO LR. / R&R VENTRAL TANK TRANSFER PUMP A IAW EMB 145 AMM 28-27-01. PUMP REQUIRES OPS CHECK, FUEL PANEL REQURIES LEAK CHECK. PANEL REQURIES SEALANT. / CONVERTED A/C FROM LR TO XR CONFIGURATION IRW EMB 145 AMM 28-00-00. / LEAK CHECK SAT OF PANEL 196DB IRW EMB-145 AMM 28-17-02 / APPLIED SEALANT TO PANEL 196DB IRW EMB-145 AMM 28-17-02 / OPS CHECK SAT IAW EMB 145 AMM 28-27-00, MEL CLEARED, PLACARD REMOVED / LOTO DEVICE REMOVED AND STOWED AS REQUIRED",FUEL TRANSFER
DURING ICE TEST B ON GROUND BLD 1 LOW TMEP NOT APPEARING AND BLD 1 CARROT NOT DISAPPEARING / LOTO INSTALLED,". 

REMOVED AND REPLACED RELAY K0541 IAW EMB 145 AMM 20-13-02. OPS CHECK SAT IAW EMB 145 AMM 30-00-00. / LOTO DEVICE REMOVED",BLEED LOW TEMP
CAPTAIN SIDE CAUTION LIGHT BULBS BURNT OUT. / LOTO INSTALLED,". 

CAUTION LIGHTS CAPT REMOVED AND REPLACED LIGHTS ON CAPT CAUTION LIGHT REF TO EMB 145 MM 20-13-04 / LOTO REMOVED AND STOWED LOTO AS REQ",EMERGENCY LIGHT
GEAR PIN HOLDER INOP / LOTO INSTALLED,". 

RESECURED GEAR PIN HOLD IAW EMB 145 AMM 20-10-01 / LOTO REMOVED AND STOWED AS REQ",COCKPIT EQUIP/INTERIOR
WHEN PERFORMING LIGHT TEST BLEED 1 LEAK BAR IS INOP / LOTO DEVICE INSTALLED,". 

OP CHK OF LAMP GOOD NO MAINTENANCE ACTION REQUIRED IAW EMB 145 AMM 33-12-00 / LOTO REMOVED AND STOWED AS REQUIRED",COCKPIT LIGHT/PUSHBUTTON
BOTTOM BEACON LIGHT INOP / LOTO INSTALLED,". 

DEFERRED PER MEL 33-47-05-1. STROBE LIGHTS OPERATE NORMALLY. PLACARD APPLIED. / LP 46313 R/R BOTTOM BEACON LAMP IAW EMB 145 AMM 33-47-05. OPS CHECK FAIL, NEW BEACON ASSY REQUIRED, MEL CONTINUES. / R&R BOTTOM BEACON ASSY. IRW AMM 33-47-05. OPS CHECK SAT. PLACARD REMOVED. MEL CLEARED. / REMOVED AND STOWED LOTO",EXTERIOR LIGHT
